actualTravelTime;fiveMinuteMean;trafficVolume
685;777.6538462;67
918;819.2352941;76
602;787.48;64
1039;781.5;70
1045;784.3589744;69
1069;785.1538462;70
608;825.2727273;65
1184;789.7428571;74
1077;774.7619048;70
994;813.1818182;75
974;802.6470588;75
1061;768.5;75
632;837.85;66
1090;769.1315789;73
1112;775.6341463;71
1032;799.1714286;74
1095;819.3888889;73
959;787.1290323;72
966;787.1290323;72
842;724.625;64
1008;796.6774194;72
661;935.875;67
999;786.78125;71
663;1091;66
1000;777.96875;69
1008;776.1515152;72
953;772.72;63
1003;724.125;64
1062;777.6538462;66
960;799.9545455;64
768;1052.333333;68
993;787.48;63
1045;772.72;64
648;939.4347826;64
993;820.8695652;65
654;939.4347826;64
1026;788.375;65
1068;787.48;64
1000;969.7857143;65
579;850.4545455;58
600;859.5909091;55
594;851.4782609;57
1063;868.8333333;65
1131;825.2727273;65
1075;868.8333333;65
993;1072;70
2472;734.6206897;70
614;895.8;61
1063;1119.214286;68
1145;831.2857143;65
1124;868.8333333;65
1004;1039.954545;71
580;896.5217391;64
1148;868.8333333;66
839;911.88;60
898;946.7727273;63
976;983.6190476;63
1156;1151.076923;68
1013;983.6190476;63
1159;1103;69
1941;779.4375;73
1154;1040.318182;69
1125;995.4736842;68
976;928.5;60
1041;930.8;60
959;864.7727273;54
939;868.1904762;54
1059;928.5;60
1063;833.3703704;58
1010;827.0434783;55
1008;868.1904762;55
992;852.047619;57
975;895.8;60
968;882.1304348;64
681;948.4761905;66
993;900.6521739;63
1034;866.9047619;63
1009;888.4583333;63
663;940.3;66
1541;935.875;67
1071;889.9166667;62
1669;825.2727273;65
1049;896.5217391;64
1060;896.5217391;64
678;924.4545455;68
1054;909.4782609;65
690;924.4545455;67
643;922.9333333;70
1048;934.8076923;63
1089;919.56;63
1110;896.5217391;64
624;882.8823529;72
1115;921.6538462;63
621;906.0526316;74
1065;958.8695652;64
617;910.4;75
1063;967.24;64
1196;900.6521739;62
1584;992.4210526;68
2869;790.6052632;65
1144;941.3703704;64
761;941.5;70
1146;958.8695652;64
1152;970.8695652;63
1488;833.3703704;59
1110;925.2413793;68
569;1055.041667;72
1114;925.2413793;67
1165;956.9259259;63
994;967.2857143;65
1160;922.5714286;66
1172;958.4285714;65
1629;939.4347826;64
1100;957.9130435;66
1218;948.2413793;66
594;1056.88;70
1209;925.2413793;67
588;1116.956522;65
1079;945.1428571;64
590;1112.434783;67
1111;940.3;65
567;1081.333333;67
559;1067.526316;68
1122;954.1578947;65
1096;924.4545455;68
1089;910.55;67
1089;910.55;68
558;1090.470588;67
887;968.4230769;75
988;906.0526316;73
520;999.1764706;65
1079;922.9333333;70
519;1002;65
1039;871.625;72
1359;936.5862069;68
1070;882.8823529;73
1073;906.0526316;74
1113;871.625;72
993;973.1666667;75
995;973.28;73
945;1051.458333;73
1108;980.3913043;71
958;1055.041667;72
954;1055.041667;72
1092;971.4230769;73
749;1090.941176;66
1103;971.4230769;74
984;1055.041667;72
541;974.7407407;67
1004;1057.84;74
988;1054.692308;71
1005;1054.692308;70
1405;910.55;67
918;1067.526316;67
944;1081.333333;68
950;1081.333333;67
961;1081.333333;67
960;1081.333333;67
2113;928.5;60
955;1084.111111;66
875;1002;66
612;1098.766667;70
924;1055.25;65
928;1055.25;66
734;1065.068966;69
726;1065.068966;69
947;995.9375;68
907;1008.956522;72
956;1037.5;69
886;1003.84;70
1992;940.9583333;62
1962;944.0769231;63
868;967.7777778;66
903;1004.26087;68
721;1090.3125;72
880;975.9285714;66
848;1058.931034;68
878;1063.535714;65
893;1061.068966;66
476;949.28;64
1427;1012.782609;75
948;965.8148148;67
950;969.2857143;66
1666;922.9333333;70
894;1058.931034;68
1100;1002;68
834;1086.3125;73
877;1081.310345;70
932;1058.931034;66
940;1065.068966;69
517;924.8928571;64
1330;1060.736842;68
867;1090.3125;72
750;1152.2;74
861;1071.666667;69
875;1090.3125;70
897;1090.3125;72
787;1094.344828;72
875;1092.333333;71
835;1094.677419;72
883;1127.357143;68
755;1006.178571;71
885;1128.482759;69
1280;980.5;66
974;1090.3125;73
807;1006.178571;71
831;1107.037037;71
781;984.78125;68
835;970.5;69
855;979.3870968;70
843;961.1;68
860;962.4333333;68
1090;1091;71
835;958.3214286;64
485;970.5238095;65
839;933.8928571;64
842;927.7407407;64
777;940;68
831;927.7037037;64
1362;982.3333333;67
645;1038.583333;68
847;927.2068966;64
834;944.9655172;65
851;927.2068966;64
855;944.9655172;66
768;961.0833333;70
2421;922.5714286;67
878;954.25;66
878;940;68
890;940;67
1951;1007;75
853;966.2068966;70
797;1015.454545;68
881;938.0333333;68
786;1038.583333;68
785;1027.44;67
798;1038.583333;67
878;982.6666667;71
981;941.6896552;64
851;1011.409091;68
845;994.8571429;70
786;998.6153846;69
841;991.8695652;68
779;998.84;70
2269;917.3333333;70
850;1011.461538;68
755;965.4090909;67
822;1001.347826;68
813;987.8571429;67
777;965.4090909;67
838;1001.347826;66
820;975.9545455;67
578;964.9722222;68
1015;982.4347826;69
820;1031.363636;65
1219;956.962963;62
843;965.4090909;65
692;981.9032258;65
1175;954.25;66
818;1035;64
852;1048;66
891;1045.6;64
2326;971.8888889;74
670;967.6216216;71
892;1035;64
852;1027.096774;65
912;1022.83871;62
594;885.8;80
845;978.84375;66
640;919.1851852;78
828;971.4411765;66
1356;940.1785714;65
825;964.9722222;68
854;971.4411765;68
917;1019.741935;66
891;985.0645161;66
860;964.9722222;70
855;957.2894737;70
842;961.2631579;70
778;920.40625;72
453;937;66
779;920.40625;73
729;877.625;78
785;920;74
794;922.7419355;74
884;967.6216216;71
1966;1069.571429;66
870;974.4054054;72
854;919.1818182;72
750;883.875;81
819;937.6896552;76
774;885.8;81
798;877.625;78
862;920;74
858;921.3548387;74
872;937.6896552;74
792;883.875;80
1832;1094.344828;73
762;876.8333333;81
1281;970.5238095;66
1067;971.4411765;65
736;866.3913043;78
842;883.875;80
1278;1048;65
729;917.4782609;71
857;857.7083333;81
777;931.1666667;76
793;931.1666667;76
801;866.3913043;77
857;868.8333333;80
872;866.48;82
1855;979.3870968;69
632;956.5277778;58
589;963.1935484;59
645;956.96875;59
1197;969.9428571;72
834;947.7407407;70
898;917.4782609;72
872;953.9615385;72
749;970.4848485;57
653;921.5806452;59
752;964.0294118;57
797;962.6969697;59
876;945.8888889;70
848;924.7941176;63
1463;1022.064516;65
795;960.4285714;58
829;956.5882353;61
762;967.9666667;58
1466;1018.78125;65
735;927.625;59
823;956.96875;59
830;958.3548387;57
837;964.1935484;58
766;925.3333333;59
632;909.3461538;57
664;962.2083333;59
675;978.2173913;58
713;955.3076923;56
632;913.4074074;59
605;902.8214286;57
875;968.4375;60
733;981.2272727;58
631;934;59
617;893.8461538;59
545;855.8125;66
525;896.0857143;69
695;920.8148148;56
517;902.2285714;72
672;893.8461538;58
631;917.0344828;59
619;910.3666667;61
667;882.3793103;60
659;924.4333333;59
1021;967.9666667;57
674;919.2857143;58
646;855.5333333;63
668;905.9677419;62
654;855.7419355;65
627;888.4848485;68
668;855.5333333;64
690;855.8125;67
690;861.8064516;68
640;902.2285714;72
671;884.7647059;69
640;897.6111111;71
539;927.2285714;65
580;907.3636364;67
551;932;65
678;897.3823529;71
663;906;71
560;927.6363636;62
557;945.5172414;60
529;926.3333333;58
587;927.6363636;62
610;913.6285714;63
573;923.2222222;59
520;913.6896552;60
924;882.3793103;59
571;938.0769231;61
611;920.75;60
634;945.5172414;59
593;926.3333333;59
616;926.3333333;59
547;889.0357143;61
547;889.0357143;61
601;919.4074074;60
896;861.8064516;68
909;861.8064516;67
640;923.3333333;60
624;913.6896552;61
644;913.6896552;61
641;884.6538462;60
639;887.9615385;60
573;889.8888889;59
636;894.9615385;60
522;820.1428571;70
620;886.4074074;60
605;891.1538462;62
605;891.1538462;63
561;884.8846154;72
1813;885.8;81
599;893.1923077;66
578;884.8846154;71
552;820.1428571;70
538;827.1111111;72
551;820.1428571;71
498;795.6206897;68
599;869.5;71
532;818.6333333;68
531;818.6333333;68
580;836.2692308;72
542;796.9;70
1938;919.1851852;79
553;786.6;67
554;776.6551724;67
509;754.875;61
537;748.7;61
546;754.1875;62
472;685.6774194;64
501;713;60
510;717.8333333;60
444;666.2285714;58
